Id,Date,Title,Short Description
6369,2017-03-16,BRIEF-Adobe Systems sees Q2 GAAP earnings per share about $0.66,* Adobe Systems Inc sees Q2 non GAAP earnings per share of about $0.94
6367,2017-03-16,BRIEF-Adobe Systems reports Q1 non-GAAP earnings of $0.94/shr,* Qtrly diluted earnings per share of $0.94 on a non-GAAP basis
284,2017-03-16,Adobe's first-quarter beats as Creative Cloud demand rises,"Adobe Systems Inc reported better-than-expected quarterly revenue and profit, as the demand for its Creative Cloud package of software tools, which includes Photoshop, continued to rise."
6363,2017-03-08,"BRIEF-Adobe has been in talks to shift some of its business to Google cloud - The Information, citing sources","* Adobe has been in talks to shift some of its business to Google cloud - The Information, citing sources Source text - http://bit.ly/2mjm0qm Further company coverage: (Bengaluru Newsroom)"
95682,2016-12-15,Adobe revenue beats on creative cloud unit strength,"Adobe Systems Inc <ADBE.O> reported better-than-expected quarterly revenue driven by higher demand for its creative cloud business including Photoshop, Illustrator and InDesign."
185723,2016-11-10,Photoshop maker Adobe to buy video ad firm TubeMogul,"Photoshop software maker Adobe Systems Inc said on Thursday it would buy advertising company TubeMogul Inc for about $540 million, net of debt and cash, giving it a bigger presence in the rapidly growing online video market."
95684,2016-09-20,Adobe revenue beats estimates as cloud push gains pace,Adobe Systems Inc <ADBE.O> reported a better-than-expected 20 percent jump in quarterly revenue as its Creative Cloud package of software tools attracted more users.
95683,2016-06-21,Adobe's revenue forecast disappoints growth-hungry investors,"Adobe Systems Inc's <ADBE.O> second-quarter revenue and full-year revenue forecast just about met analysts' estimates, disappointing investors hoping demand for the company's Creative Cloud package of software tools would outpace expectations."
95680,2015-06-19,"Volume, variety key for Adobe's stock-image service to click","Adobe Systems Inc is leveraging its popular Creative Cloud software suite for its new stock-image service, but will have to dig deeper to woo designers and take on established players such as Shutterstock Inc and Getty Images."
161130,2014-10-21,"Nielsen, Adobe to measure online TV across multiple devices","Nielsen and Adobe Systems Inc announced an alliance on Tuesday that aims to measure the viewership of digital video across all Internet-connected platforms including TVs, smart phones and tablets as the television ecosystem undergoes dramatic change."
